id,mode,genre,duration,key,tempo,time_signature
You Proof ( Morgan Wallen ),1,country,157478,9,119.706,4
Sweater Weather ( The Neighbourhood ),1,rock,240400,10,124.053,4
Blinding Lights ( The Weeknd ),1,hip hop,200040,1,171.005,4
Starboy ( The Weeknd ),1,hip hop,230453,7,186.003,4
Fuma Weed ( marlonhil ),1,other,149538,1,130.031,4
In Ha Mood ( Ice Spice ),1,other,129362,0,141.059,4
I Like You (A Happier Song) (with Doja Cat) ( Post Malone ),1,hip hop,192841,5,100.964,4
Old Love ( yuji ),1,other,249382,11,141.95,3
Players - DJ Smallz 732 - Jersey Club Remix ( Coi Leray ),1,hip hop,117027,1,136.018,4
Thousand Miles ( The Kid LAROI ),1,hip hop,164782,7,80.565,4
Back End ( Finesse2tymes ),0,hip hop,165487,10,130.001,4
Hanging With Wolves ( Lil Durk ),0,other,205893,11,151.978,4
Is There Someone Else? ( The Weeknd ),0,hip hop,199111,9,134.951,4
Stand On It ( Lil Baby ),0,hip hop,166889,11,86.468,4
Out of Time ( The Weeknd ),0,hip hop,214194,0,93.057,4
Shabooya ( Hitkidd ),0,hip hop,178824,9,145.016,4
Super General (Originally Performed by Kevin Gates) [Instrumental Version] ( Backing Business ),0,other,342901,4,145.942,4
King Snipe ( Gucci Mane ),1,hip hop,214594,1,125.061,4
2 Million Up ( Peezy ),0,hip hop,159973,6,95.753,4
Call Me Every Day (feat. Wizkid) ( Chris Brown ),0,pop,146840,4,171.862,4
Do It Again (feat. 2Rare) ( NLE Choppa ),0,hip hop,213206,11,160.054,4
Without You ( Quavo Huncho ),0,other,250056,2,146.291,4
Munch (Feelin’ U) ( Ice Spice ),0,other,104819,11,166.084,4
Nonsense ( Sabrina Carpenter ),1,pop,163648,8,138.992,4
Sleazy Flow (with Lil Baby) - Remix ( SleazyWorld Go ),1,hip hop,161355,2,77.47,4
I Like ( Rubi Rose ),0,hip hop,127822,10,99.986,4
Fall In Love Alone ( Stacey Ryan ),0,other,205428,7,171.883,4
Quickie ( Moneybagg Yo ),1,hip hop,187826,2,137.921,4
First Class ( Jack Harlow ),1,hip hop,173948,8,106.998,4
From The D 2 The LBC (with Snoop Dogg) ( Eminem ),0,hip hop,215120,9,82.037,4
Limbo ( Freddie Dredd ),0,hip hop,169947,11,74.987,4
No Sleep ( NBA YoungBoy ),0,other,128581,4,136.035,4
Vette Motors ( YoungBoy Never Broke Again ),0,hip hop,173419,10,155.103,4
Cooped Up (with Roddy Ricch) ( Post Malone ),1,hip hop,185857,0,93.923,4
THROW ( Lil Mabu ),0,other,138309,9,73.376,4
Out thë way ( Yeat ),0,other,150242,4,128.07,4
Mad Max ( Lil Durk ),0,other,153600,5,149.988,4
Hi Ren ( Ren ),0,other,515000,7,111.108,4
Overdose ( Finesse2tymes ),1,hip hop,128194,2,137.013,4
Bikini Bottom ( Ice Spice ),1,other,106667,8,161.962,3
Love is... ( Toosii ),1,hip hop,230017,2,81.777,4
Messy ( Quavo ),0,hip hop,177395,11,152.919,4
F.N.F. (Let's Go) ( Hitkidd ),1,hip hop,137580,1,157.144,4
